id,name_ja,name_en,position,cost,era,family,nationality,is_fcg,summary
001,エドマンド・ブラックウッド,Edmund Blackwood,DF,2,1,ブラックウッド家(初代),英,false,一族の祖、鉄鋼商にしてサッカーの番人
002,アーチー・マクファーレン,Archie MacFarlane,VO,1+,1,マクファーレン家(初代),蘇,false,ハミッシュの父、契約の概念を持ち込んだ男
003,ハミッシュ・マクファーレン,Hamish MacFarlane,OM,SS,1,マクファーレン家(3代当主・駒師始祖),蘇,false,盤を作った老人、時代を超えた夢の設計者
004,ウィルフレッド・ソーン,Wilfred Thorne,FW,2,1,無所属,英,false,FA設立に立ち会った最古のストライカー
005,ヘンリー・アシュワース,Henry Ashworth,GK,1+,1,無所属,英,false,パブリックスクール出身、最初期のGK
006,ダンカン・ケアード,Duncan Caird,MF,1,1,無所属,蘇,false,スコットランドのパッシングゲームの原型を作った
007,オリヴァー・ブラックウッド,Oliver Blackwood,OM,2,1,ブラックウッド家(傍流),英,false,本家に認められなかった才人、家訓に背いた男
008,トム・ハーディング,Tom Harding,GK,1,1,FC Grassroots,英,true,炭鉱町出身、盤上で最初に守った男
009,イライジャ・マッケイ,Elijah McKay,DF,1,1,FC Grassroots,蘇,true,頑固な鍛冶屋、壁になることを誇りとする
010,サミュエル・リード,Samuel Reid,MF,1,1,FC Grassroots,英,true,詩を書く労働者、パスに思想を込めた男
011,エリザベス・ホーソーン,Elizabeth Hawthorne,OM,2,2,無所属(アルビオン・レディース創設者),英,false,女子サッカー黎明期の創始者、嘲笑と戦った女
012,セバスチャン・ヴァイスハウプト,Sebastian Weisshaupt,MF,2+,2,ヴァイスハウプト家(初代),墺,false,ウィーンでサッカーを解剖した最初の戦術家
013,ジェームズ・ブラックウッド,James Blackwood,FW,2+,2,ブラックウッド家(2代当主),英,false,プロ化を推進した豪腕、「金を取って何が悪い」
014,エンツォ・モンテフィオーレ,Enzo Montefiore,OM,SS,2,モンテフィオーレ家(初代),伊,false,トリノの繊維王、クラブを買った最初の興行主
015,アンリ・デュボワ,Henri Dubois,MF,1+,2,デュボワ家(初代),仏,false,最初のサッカー記者、ペンで試合を残した男
016,ジョアン・シルヴァ,João Silva,FW,2,2,シルヴァ家(初代),葡/伯,false,ポルトガルからブラジルへ渡った種子
017,ドゥシャン・コヴァチェヴィッチ,Dušan Kovačević,DF,1+,2,コヴァチェヴィッチ家(初代),塞,false,ベオグラードに初めてボールを持ち込んだ軍人
018,ネッド・マクファーレン,Ned MacFarlane,SB,1+,2,マクファーレン家(2代),蘇,false,ハミッシュの息子、契約書を大人数分書いた男
019,ハロルド・プレストン,Harold Preston,GK,1,2,無所属,英,false,リーグ初代のGK、手袋なしで凍えた冬の守護神
020,フリードリヒ・バウアー,Friedrich Bauer,DF,2,2,無所属,独,false,ベルリンのクラブ創設者、規律の体現者
021,ウルフ・リンドクヴィスト,Ulf Lindqvist,VO,1,2,無所属,瑞典,false,北欧にサッカーを持ち込んだ森林労働者
022,トーマス・オブライエン,Thomas O'Brien,WG,1,2,無所属,愛,false,移民としてリヴァプールで走り続けた翼
023,ルーカス・アシュクロフト,Lucas Ashcroft,WG,1,2,FC Grassroots,英,true,貧民街のドリブラー、靴もなく最速だった少年
024,ウィリアム・ブラックウッド,William Blackwood,MF,2+,3,ブラックウッド家(3代),英,false,1916年ソンムで戦死、妹ドロシーを残した兄
025,ヴィクター・ヴァイスハウプト,Viktor Weisshaupt,DF,2,3,ヴァイスハウプト家(2代),独,false,塹壕で戦術ノートを書き続けた将校
026,カルロ・モンテフィオーレ,Carlo Montefiore,OM,2+,3,モンテフィオーレ家(2代),伊,false,トリノ・フィアンマを拡張した興行師
027,ピエール・デュボワ,Pierre Dubois,MF,1+,3,デュボワ家(2代),仏,false,ヴェルダンの戦地記者、サッカーを書き続けた
028,パウロ・シルヴァ,Paulo Silva,FW,2,3,シルヴァ家(2代),伯,false,サントス創設世代、ファベーラの最初の星
029,ミロシュ・コヴァチェヴィッチ,Miloš Kovačević,VO,2,3,コヴァチェヴィッチ家(2代),塞,false,1914年サラエボ後の世代、祖国を背負った男
030,ロナルド・マクファーレン,Ronald MacFarlane,SB,1+,3,マクファーレン家(3代),蘇,false,ハミッシュの孫、駒を彫り始めた新世代
